tier,asset,timeframe,rows,min_rows,start,end,source,status,test_status
TIER_1_RANGE_PRONE,EURUSD,1h,1399,500,2026-04-27T23:00:00+00:00,2026-07-17T21:00:00+00:00,yfinance EURUSD=X 1h candles,live,OK
TIER_1_RANGE_PRONE,EURUSD,4h,364,250,2026-04-27T20:00:00+00:00,2026-07-17T20:00:00+00:00,yfinance EURUSD=X 4h candles,live,OK
TIER_1_RANGE_PRONE,EURUSD,1d,264,180,2025-07-13T23:00:00+00:00,2026-07-18T23:00:00+00:00,yfinance EURUSD=X daily candles,live,OK
TIER_1_RANGE_PRONE,USDJPY,1h,1391,500,2026-04-27T23:00:00+00:00,2026-07-17T20:00:00+00:00,yfinance JPY=X 1h candles,live,OK
TIER_1_RANGE_PRONE,USDJPY,4h,364,250,2026-04-27T20:00:00+00:00,2026-07-17T20:00:00+00:00,yfinance JPY=X 4h candles,live,OK
TIER_1_RANGE_PRONE,USDJPY,1d,264,180,2025-07-13T23:00:00+00:00,2026-07-18T23:00:00+00:00,yfinance JPY=X daily candles,live,OK
TIER_1_RANGE_PRONE,GBPUSD,1h,1399,500,2026-04-27T23:00:00+00:00,2026-07-17T21:00:00+00:00,yfinance GBPUSD=X 1h candles,live,OK
TIER_1_RANGE_PRONE,GBPUSD,4h,364,250,2026-04-27T20:00:00+00:00,2026-07-17T20:00:00+00:00,yfinance GBPUSD=X 4h candles,live,OK
TIER_1_RANGE_PRONE,GBPUSD,1d,264,180,2025-07-13T23:00:00+00:00,2026-07-18T23:00:00+00:00,yfinance GBPUSD=X daily candles,live,OK
TIER_1_RANGE_PRONE,USDCHF,1h,1391,500,2026-04-27T23:00:00+00:00,2026-07-17T20:00:00+00:00,yfinance CHF=X 1h candles,live,OK
TIER_1_RANGE_PRONE,USDCHF,4h,364,250,2026-04-27T20:00:00+00:00,2026-07-17T20:00:00+00:00,yfinance CHF=X 4h candles,live,OK
TIER_1_RANGE_PRONE,USDCHF,1d,264,180,2025-07-13T23:00:00+00:00,2026-07-18T23:00:00+00:00,yfinance CHF=X daily candles,live,OK
TIER_1_RANGE_PRONE,GOLD,4h,240,250,2024-05-24T01:00:00+00:00,2024-06-03T00:00:00+00:00,Generated sample intraday candles,fallback: missing Twelve Data API key,SKIPPED_NOT_LIVE
TIER_1_RANGE_PRONE,GOLD,1d,371,180,2023-05-30T00:00:00+00:00,2024-06-03T00:00:00+00:00,Generated sample candles,fallback: missing Twelve Data API key,SKIPPED_NOT_LIVE
TIER_1_RANGE_PRONE,GOLD,1wk,53,40,2023-06-09T00:00:00+00:00,2024-06-07T00:00:00+00:00,Generated sample candles,fallback: missing Twelve Data API key,SKIPPED_NOT_LIVE
TIER_1_RANGE_PRONE,SILVER,4h,240,250,2024-05-24T01:00:00+00:00,2024-06-03T00:00:00+00:00,Generated sample intraday candles,fallback: missing Twelve Data API key,SKIPPED_NOT_LIVE
TIER_1_RANGE_PRONE,SILVER,1d,371,180,2023-05-30T00:00:00+00:00,2024-06-03T00:00:00+00:00,Generated sample candles,fallback: missing Twelve Data API key,SKIPPED_NOT_LIVE
TIER_1_RANGE_PRONE,SILVER,1wk,53,40,2023-06-09T00:00:00+00:00,2024-06-07T00:00:00+00:00,Generated sample candles,fallback: missing Twelve Data API key,SKIPPED_NOT_LIVE
TIER_2_CONDITIONAL,BTC,4h,1000,250,2026-02-03T04:00:00+00:00,2026-07-19T16:00:00+00:00,Binance BTCUSDT 4h candles,live,OK
TIER_2_CONDITIONAL,BTC,12h,741,140,2025-07-14T12:00:00+00:00,2026-07-19T12:00:00+00:00,Binance BTCUSDT 12h candles,live,OK
TIER_2_CONDITIONAL,BTC,1d,370,180,2025-07-15T00:00:00+00:00,2026-07-19T00:00:00+00:00,Binance BTCUSDT daily candles,live,OK
TIER_2_CONDITIONAL,ETH,4h,1000,250,2026-02-03T04:00:00+00:00,2026-07-19T16:00:00+00:00,Binance ETHUSDT 4h candles,live,OK
TIER_2_CONDITIONAL,ETH,12h,741,140,2025-07-14T12:00:00+00:00,2026-07-19T12:00:00+00:00,Binance ETHUSDT 12h candles,live,OK
TIER_2_CONDITIONAL,ETH,1d,370,180,2025-07-15T00:00:00+00:00,2026-07-19T00:00:00+00:00,Binance ETHUSDT daily candles,live,OK
TIER_3_STRESS,SOL,4h,1000,250,2026-02-03T04:00:00+00:00,2026-07-19T16:00:00+00:00,Binance SOLUSDT 4h candles,live,OK
TIER_3_STRESS,SOL,12h,741,140,2025-07-14T12:00:00+00:00,2026-07-19T12:00:00+00:00,Binance SOLUSDT 12h candles,live,OK
TIER_3_STRESS,NEAR,4h,1000,250,2026-02-03T04:00:00+00:00,2026-07-19T16:00:00+00:00,Binance NEARUSDT 4h candles,live,OK
TIER_3_STRESS,NEAR,12h,741,140,2025-07-14T12:00:00+00:00,2026-07-19T12:00:00+00:00,Binance NEARUSDT 12h candles,live,OK
